ImageNumber,ObjectNumber,FileName_ALLphal_image,FileName_DAPI_align,FileName_MAXb1,FileName_MAXb2,FileName_MAXb3,FileName_ecad_image,PathName_ALLphal_image,PathName_DAPI_align,PathName_MAXb1,PathName_MAXb2,PathName_MAXb3,PathName_ecad_image,Distance_Centroid_ecad_cells,Intensity_IntegratedIntensity_enhanced_cy7_b1,Intensity_IntegratedIntensity_enhanced_cy7_b2,Intensity_IntegratedIntensity_enhanced_cy7_b3,Intensity_IntegratedIntensity_enhanced_farred_b1,Intensity_IntegratedIntensity_enhanced_farred_b2,Intensity_IntegratedIntensity_enhanced_farred_b3,Intensity_IntegratedIntensity_enhanced_gold_b1,Intensity_IntegratedIntensity_enhanced_gold_b2,Intensity_IntegratedIntensity_enhanced_gold_b3,Intensity_IntegratedIntensity_enhanced_red_b1,Intensity_IntegratedIntensity_enhanced_red_b2,Intensity_IntegratedIntensity_enhanced_red_b3,Intensity_LowerQuartileIntensity_enhanced_cy7_b1,Intensity_LowerQuartileIntensity_enhanced_cy7_b2,Intensity_LowerQuartileIntensity_enhanced_cy7_b3,Intensity_LowerQuartileIntensity_enhanced_farred_b1,Intensity_LowerQuartileIntensity_enhanced_farred_b2,Intensity_LowerQuartileIntensity_enhanced_farred_b3,Intensity_LowerQuartileIntensity_enhanced_gold_b1,Intensity_LowerQuartileIntensity_enhanced_gold_b2,Intensity_LowerQuartileIntensity_enhanced_gold_b3,Intensity_LowerQuartileIntensity_enhanced_red_b1,Intensity_LowerQuartileIntensity_enhanced_red_b2,Intensity_LowerQuartileIntensity_enhanced_red_b3,Intensity_MaxIntensity_enhanced_cy7_b1,Intensity_MaxIntensity_enhanced_cy7_b2,Intensity_MaxIntensity_enhanced_cy7_b3,Intensity_MaxIntensity_enhanced_farred_b1,Intensity_MaxIntensity_enhanced_farred_b2,Intensity_MaxIntensity_enhanced_farred_b3,Intensity_MaxIntensity_enhanced_gold_b1,Intensity_MaxIntensity_enhanced_gold_b2,Intensity_MaxIntensity_enhanced_gold_b3,Intensity_MaxIntensity_enhanced_red_b1,Intensity_MaxIntensity_enhanced_red_b2,Intensity_MaxIntensity_enhanced_red_b3,Intensity_MeanIntensity_enhanced_cy7_b1,Intensity_MeanIntensity_enhanced_cy7_b2,Intensity_MeanIntensity_enhanced_cy7_b3,Intensity_MeanIntensity_enhanced_farred_b1,Intensity_MeanIntensity_enhanced_farred_b2,Intensity_MeanIntensity_enhanced_farred_b3,Intensity_MeanIntensity_enhanced_gold_b1,Intensity_MeanIntensity_enhanced_gold_b2,Intensity_MeanIntensity_enhanced_gold_b3,Intensity_MeanIntensity_enhanced_red_b1,Intensity_MeanIntensity_enhanced_red_b2,Intensity_MeanIntensity_enhanced_red_b3,Intensity_MedianIntensity_enhanced_cy7_b1,Intensity_MedianIntensity_enhanced_cy7_b2,Intensity_MedianIntensity_enhanced_cy7_b3,Intensity_MedianIntensity_enhanced_farred_b1,Intensity_MedianIntensity_enhanced_farred_b2,Intensity_MedianIntensity_enhanced_farred_b3,Intensity_MedianIntensity_enhanced_gold_b1,Intensity_MedianIntensity_enhanced_gold_b2,Intensity_MedianIntensity_enhanced_gold_b3,Intensity_MedianIntensity_enhanced_red_b1,Intensity_MedianIntensity_enhanced_red_b2,Intensity_MedianIntensity_enhanced_red_b3,Intensity_MinIntensity_enhanced_cy7_b1,Intensity_MinIntensity_enhanced_cy7_b2,Intensity_MinIntensity_enhanced_cy7_b3,Intensity_MinIntensity_enhanced_farred_b1,Intensity_MinIntensity_enhanced_farred_b2,Intensity_MinIntensity_enhanced_farred_b3,Intensity_MinIntensity_enhanced_gold_b1,Intensity_MinIntensity_enhanced_gold_b2,Intensity_MinIntensity_enhanced_gold_b3,Intensity_MinIntensity_enhanced_red_b1,Intensity_MinIntensity_enhanced_red_b2,Intensity_MinIntensity_enhanced_red_b3,Intensity_StdIntensity_enhanced_cy7_b1,Intensity_StdIntensity_enhanced_cy7_b2,Intensity_StdIntensity_enhanced_cy7_b3,Intensity_StdIntensity_enhanced_farred_b1,Intensity_StdIntensity_enhanced_farred_b2,Intensity_StdIntensity_enhanced_farred_b3,Intensity_StdIntensity_enhanced_gold_b1,Intensity_StdIntensity_enhanced_gold_b2,Intensity_StdIntensity_enhanced_gold_b3,Intensity_StdIntensity_enhanced_red_b1,Intensity_StdIntensity_enhanced_red_b2,Intensity_StdIntensity_enhanced_red_b3,Intensity_UpperQuartileIntensity_enhanced_cy7_b1,Intensity_UpperQuartileIntensity_enhanced_cy7_b2,Intensity_UpperQuartileIntensity_enhanced_cy7_b3,Intensity_UpperQuartileIntensity_enhanced_farred_b1,Intensity_UpperQuartileIntensity_enhanced_farred_b2,Intensity_UpperQuartileIntensity_enhanced_farred_b3,Intensity_UpperQuartileIntensity_enhanced_gold_b1,Intensity_UpperQuartileIntensity_enhanced_gold_b2,Intensity_UpperQuartileIntensity_enhanced_gold_b3,Intensity_UpperQuartileIntensity_enhanced_red_b1,Intensity_UpperQuartileIntensity_enhanced_red_b2,Intensity_UpperQuartileIntensity_enhanced_red_b3,Location_Center_X,Location_Center_Y,Number_Object_Number,Parent_ecad_cells
7,1,MAX_ACT-V30_LNP_rep1A_liver_phalloidin_beforeISS-reg6_1_MMStack.ome_GFP_ALLphal_cells_image.tiff,MAX_ACT-V30_LNP_rep1A_liver_Ecad_beforeISS-reg6_1_MMStack.ome_DAPI_align.tiff,MAX_ACT-V30_LNP_rep1A_liver_reg6_b1_1_MMStack.ome.tif,MAX_ACT-V30_LNP_rep1A_liver_reg6_b2_1_MMStack.ome.tif,MAX_ACT-V30_LNP_rep1A_liver_reg6_b3_1_MMStack.ome.tif,MAX_ACT-V30_LNP_rep1A_liver_Ecad_beforeISS-reg6_1_MMStack.ome_GFP_ecad_cells_image.tiff,example_images/ACT-V30_LNP_rep1A_liver_phalloidin_beforeISS-reg6_1,example_images/ACT-V30_LNP_rep1A_liver_Ecad_beforeISS-reg6_1,example_images/ACT-V30_LNP_rep1A_liver_reg6_b1_1,example_images/ACT-V30_LNP_rep1A_liver_reg6_b2_1,example_images/ACT-V30_LNP_rep1A_liver_reg6_b3_1,example_images/ACT-V30_LNP_rep1A_liver_Ecad_beforeISS-reg6_1,22.96596755,0.009948883,0.023224232,0.012115662,0.008377203,0.110505825,0.020019838,0.034561686,0.019546808,0.027130542,2.059388086,0.106111236,1.279697835,0.000106813,0.000366217,0,0.000183108,0.00122072,0.000564584,0.000823987,0,0.000503548,0.032104976,0.001159685,0.016479738,0.001373312,0.002105745,0.001449607,0.000808728,0.016098268,0.002563516,0.004257267,0.002395666,0.003173877,0.299488813,0.017074844,0.194903463,0.000414537,0.000967676,0.000504819,0.00034905,0.004604409,0.00083416,0.00144007,0.00081445,0.001130439,0.085807837,0.004421301,0.053320743,0.000381476,0.001052872,0.000488289,0.000320439,0.003051803,0.000793469,0.001220722,0.000701915,0.001007095,0.05320821,0.003707943,0.028015561,0,0,0,0,0,0,0,0,0.000198367,0,0,0,0.000362051,0.00068963,0.000464814,0.000249735,0.004692749,0.000690582,0.000991649,0.000821662,0.00076253,0.08256277,0.00419956,0.053029463,0.000640879,0.001602198,0.0009308,0.000610361,0.006729227,0.000976578,0.001968414,0.001281758,0.001617456,0.149401069,0.006988633,0.077668421,935.6666667,22.70833333,1,2
7,2,MAX_ACT-V30_LNP_rep1A_liver_phalloidin_beforeISS-reg6_1_MMStack.ome_GFP_ALLphal_cells_image.tiff,MAX_ACT-V30_LNP_rep1A_liver_Ecad_beforeISS-reg6_1_MMStack.ome_DAPI_align.tiff,MAX_ACT-V30_LNP_rep1A_liver_reg6_b1_1_MMStack.ome.tif,MAX_ACT-V30_LNP_rep1A_liver_reg6_b2_1_MMStack.ome.tif,MAX_ACT-V30_LNP_rep1A_liver_reg6_b3_1_MMStack.ome.tif,MAX_ACT-V30_LNP_rep1A_liver_Ecad_beforeISS-reg6_1_MMStack.ome_GFP_ecad_cells_image.tiff,example_images/ACT-V30_LNP_rep1A_liver_phalloidin_beforeISS-reg6_1,example_images/ACT-V30_LNP_rep1A_liver_Ecad_beforeISS-reg6_1,example_images/ACT-V30_LNP_rep1A_liver_reg6_b1_1,example_images/ACT-V30_LNP_rep1A_liver_reg6_b2_1,example_images/ACT-V30_LNP_rep1A_liver_reg6_b3_1,example_images/ACT-V30_LNP_rep1A_liver_Ecad_beforeISS-reg6_1,13.21244663,0.022232396,0.060212103,0.040131228,0.018783856,0.0792401,0.020538648,0.040314337,0.323582808,0.032776381,2.07840094,0.065156026,0.937743224,0.000427253,0.001224537,0.000614175,0.000400549,0.000949873,0.00040055,0.000846876,0.00504692,0.000644694,0.034576941,0.001178759,0.015892269,0.001419089,0.003753719,0.002594034,0.00155642,0.006622417,0.001327535,0.003295949,0.028076602,0.001937896,0.221652567,0.005325399,0.110292219,0.000673709,0.001824609,0.001216098,0.000569208,0.002401215,0.000622383,0.001221647,0.00980554,0.000993224,0.062981847,0.001974425,0.028416461,0.000648508,0.001823453,0.001266499,0.000564584,0.002479591,0.000579843,0.001075761,0.008018615,0.000968948,0.042458225,0.001602197,0.019455254,0,0,0,0,0,0,0,0.00169375,0.000167849,0.022964828,0,0.001190208,0.000398263,0.00096047,0.000768576,0.000313584,0.001681407,0.000319497,0.000790573,0.006689558,0.000472804,0.04775596,0.001253015,0.02320393,0.0009308,0.002498665,0.001785306,0.000732433,0.003826199,0.000850691,0.001640345,0.011833371,0.00133135,0.068883039,0.002738995,0.039105052,930.2727273,30.84848485,2,2
7,3,MAX_ACT-V30_LNP_rep1A_liver_phalloidin_beforeISS-reg6_1_MMStack.ome_GFP_ALLphal_cells_image.tiff,MAX_ACT-V30_LNP_rep1A_liver_Ecad_beforeISS-reg6_1_MMStack.ome_DAPI_align.tiff,MAX_ACT-V30_LNP_rep1A_liver_reg6_b1_1_MMStack.ome.tif,MAX_ACT-V30_LNP_rep1A_liver_reg6_b2_1_MMStack.ome.tif,MAX_ACT-V30_LNP_rep1A_liver_reg6_b3_1_MMStack.ome.tif,MAX_ACT-V30_LNP_rep1A_liver_Ecad_beforeISS-reg6_1_MMStack.ome_GFP_ecad_cells_image.tiff,example_images/ACT-V30_LNP_rep1A_liver_phalloidin_beforeISS-reg6_1,example_images/ACT-V30_LNP_rep1A_liver_Ecad_beforeISS-reg6_1,example_images/ACT-V30_LNP_rep1A_liver_reg6_b1_1,example_images/ACT-V30_LNP_rep1A_liver_reg6_b2_1,example_images/ACT-V30_LNP_rep1A_liver_reg6_b3_1,example_images/ACT-V30_LNP_rep1A_liver_Ecad_beforeISS-reg6_1,8.251293288,0.034546426,0.088731215,0.067322807,0.03135729,0.121171892,0.039429313,0.120622569,0.995986898,0.086030366,6.317448612,0.161516748,3.422552869,0.000274662,0.000926986,0.000591287,0.000335698,0.001106279,0.000381476,0.000934615,0.006889449,0.000732433,0.037155718,0.001373312,0.017540245,0.001693751,0.003448539,0.002685588,0.001297017,0.005203326,0.001800565,0.008834974,0.087663084,0.005172809,0.593957424,0.010559244,0.30342567,0.000548356,0.001408432,0.001068616,0.000497735,0.001923363,0.000625862,0.001914644,0.015809316,0.001365561,0.100276962,0.002563758,0.054326236,0.000495918,0.001472496,0.00109102,0.0004654,0.00202182,0.000610361,0.001434348,0.00984207,0.001075761,0.054047458,0.002113375,0.03009079,0,0,0,0,0,0,0,0.001007096,0,0.010086212,0,0.001846343,0.000351813,0.000728109,0.000604508,0.000285489,0.001177985,0.000381194,0.001789811,0.0171064,0.00114868,0.112763092,0.002216775,0.064726292,0.000766766,0.001937896,0.00156405,0.000701915,0.002777142,0.000888838,0.002048524,0.016327154,0.001449607,0.119535357,0.002857252,0.063576715,1433,34.71428571,3,1
7,4,MAX_ACT-V30_LNP_rep1A_liver_phalloidin_beforeISS-reg6_1_MMStack.ome_GFP_ALLphal_cells_image.tiff,MAX_ACT-V30_LNP_rep1A_liver_Ecad_beforeISS-reg6_1_MMStack.ome_DAPI_align.tiff,MAX_ACT-V30_LNP_rep1A_liver_reg6_b1_1_MMStack.ome.tif,MAX_ACT-V30_LNP_rep1A_liver_reg6_b2_1_MMStack.ome.tif,MAX_ACT-V30_LNP_rep1A_liver_reg6_b3_1_MMStack.ome.tif,MAX_ACT-V30_LNP_rep1A_liver_Ecad_beforeISS-reg6_1_MMStack.ome_GFP_ecad_cells_image.tiff,example_images/ACT-V30_LNP_rep1A_liver_phalloidin_beforeISS-reg6_1,example_images/ACT-V30_LNP_rep1A_liver_Ecad_beforeISS-reg6_1,example_images/ACT-V30_LNP_rep1A_liver_reg6_b1_1,example_images/ACT-V30_LNP_rep1A_liver_reg6_b2_1,example_images/ACT-V30_LNP_rep1A_liver_reg6_b3_1,example_images/ACT-V30_LNP_rep1A_liver_Ecad_beforeISS-reg6_1,39.90131306,0.005294881,0.006195163,0.005645838,0.003601129,0.016479741,0.004898146,0.009796292,0.014007785,0.008514534,0.698069751,0.016968032,0.327138193,0.000198367,0.000137331,0.000411994,7.63E-05,0.000732433,0.000228885,0.000503548,0.000595102,0.000442512,0.019821472,0.000854505,0.011429012,0.000854505,0.001678492,0.000732433,0.000885023,0.002853436,0.000808728,0.001907378,0.00280766,0.001495384,0.148287177,0.003051804,0.082124054,0.00044124,0.000516264,0.000470487,0.000300094,0.001373312,0.000408179,0.000816358,0.001167315,0.000709545,0.058172479,0.001414003,0.027261516,0.000549325,0.000381476,0.000564584,0.00030518,0.001312276,0.000335698,0.000717174,0.001113909,0.000869764,0.033142596,0.001251239,0.025329977,6.10E-05,0,0,0,0,0,0,0,0,0.012619212,0,0.000732437,0.000250767,0.000515612,0.000224073,0.000273908,0.001063252,0.000287308,0.000537813,0.000928202,0.00045302,0.051498058,0.000870329,0.023258328,0.00062562,0.001022354,0.000610361,0.000396735,0.002716105,0.00077821,0.001129168,0.002273595,0.00109865,0.12899977,0.002059968,0.038178079,1009.5,41.5,4,7
7,5,MAX_ACT-V30_LNP_rep1A_liver_phalloidin_beforeISS-reg6_1_MMStack.ome_GFP_ALLphal_cells_image.tiff,MAX_ACT-V30_LNP_rep1A_liver_Ecad_beforeISS-reg6_1_MMStack.ome_DAPI_align.tiff,MAX_ACT-V30_LNP_rep1A_liver_reg6_b1_1_MMStack.ome.tif,MAX_ACT-V30_LNP_rep1A_liver_reg6_b2_1_MMStack.ome.tif,MAX_ACT-V30_LNP_rep1A_liver_reg6_b3_1_MMStack.ome.tif,MAX_ACT-V30_LNP_rep1A_liver_Ecad_beforeISS-reg6_1_MMStack.ome_GFP_ecad_cells_image.tiff,example_images/ACT-V30_LNP_rep1A_liver_phalloidin_beforeISS-reg6_1,example_images/ACT-V30_LNP_rep1A_liver_Ecad_beforeISS-reg6_1,example_images/ACT-V30_LNP_rep1A_liver_reg6_b1_1,example_images/ACT-V30_LNP_rep1A_liver_reg6_b2_1,example_images/ACT-V30_LNP_rep1A_liver_reg6_b3_1,example_images/ACT-V30_LNP_rep1A_liver_Ecad_beforeISS-reg6_1,23.13383588,0.022354467,0.042679486,0.037918674,0.025940337,0.078461896,0.0240177,0.060822461,0.371129954,0.068726636,3.231143553,0.21744106,1.279621564,0.000289921,0.000366217,0.000427253,0.000427253,0.000900283,0.000228885,0.000732433,0.00358587,0.00077821,0.026504923,0.001678492,0.010864425,0.00125124,0.00280766,0.002319372,0.001129168,0.006164645,0.001602197,0.005493248,0.038834214,0.006195163,0.33488977,0.024994276,0.154970631,0.000508056,0.000969988,0.000861788,0.000589553,0.001783225,0.000545857,0.001382329,0.008434772,0.001561969,0.073435081,0.004941842,0.029082308,0.000488289,0.00108339,0.000762951,0.000656138,0.001815824,0.000518807,0.001037613,0.005844206,0.001235981,0.043640804,0.00375372,0.018402383,0,0,0,0,0,0,0,0.000869765,0.000122072,0.004562449,0,0.001434349,0.000353296,0.000749745,0.000625413,0.000254213,0.001187179,0.000416425,0.000993565,0.007918496,0.001242702,0.071918497,0.005202013,0.031510504,0.000808728,0.001434348,0.001113909,0.000793469,0.002548257,0.000854505,0.001907378,0.009857329,0.001846342,0.094483852,0.006469825,0.031479359,639.5,43,5,4
7,6,MAX_ACT-V30_LNP_rep1A_liver_phalloidin_beforeISS-reg6_1_MMStack.ome_GFP_ALLphal_cells_image.tiff,MAX_ACT-V30_LNP_rep1A_liver_Ecad_beforeISS-reg6_1_MMStack.ome_DAPI_align.tiff,MAX_ACT-V30_LNP_rep1A_liver_reg6_b1_1_MMStack.ome.tif,MAX_ACT-V30_LNP_rep1A_liver_reg6_b2_1_MMStack.ome.tif,MAX_ACT-V30_LNP_rep1A_liver_reg6_b3_1_MMStack.ome.tif,MAX_ACT-V30_LNP_rep1A_liver_Ecad_beforeISS-reg6_1_MMStack.ome_GFP_ecad_cells_image.tiff,example_images/ACT-V30_LNP_rep1A_liver_phalloidin_beforeISS-reg6_1,example_images/ACT-V30_LNP_rep1A_liver_Ecad_beforeISS-reg6_1,example_images/ACT-V30_LNP_rep1A_liver_reg6_b1_1,example_images/ACT-V30_LNP_rep1A_liver_reg6_b2_1,example_images/ACT-V30_LNP_rep1A_liver_reg6_b3_1,example_images/ACT-V30_LNP_rep1A_liver_Ecad_beforeISS-reg6_1,44.2058038,0.009597925,0.012619212,0.0112459,0.012649729,0.094438087,0.020294499,0.025146869,0.037872897,0.02246128,1.389898546,0.063385978,0.985397108,0.000205997,0.00016022,3.05E-05,0.000442512,0.001594569,0.000610361,0.000740063,0.000465401,0.0004654,0.026382852,0.001335165,0.017418172,0.001052873,0.002044709,0.001434348,0.001342794,0.016464483,0.001693751,0.002868696,0.005172809,0.002395666,0.247638673,0.011886777,0.175127789,0.000436269,0.000573601,0.000511177,0.000574988,0.00429264,0.000922477,0.001143039,0.001721495,0.001020967,0.063177207,0.002881181,0.044790778,0.000427253,0.000503548,0.000427253,0.000579843,0.002563516,0.000839246,0.001022354,0.001754788,0.001190204,0.037384607,0.002243077,0.028046079,0,0,0,7.63E-05,0,0.000274662,0,0,0,0.018707559,0,0.009994656,0.000297441,0.000558944,0.000479425,0.000252137,0.004046269,0.000454772,0.000650824,0.001452158,0.000614179,0.056022345,0.00276246,0.04180214,0.00062562,0.001060502,0.00093843,0.000724804,0.006256199,0.001434348,0.001365682,0.002327001,0.001510643,0.091966126,0.003974975,0.061585411,999.1363636,43,6,7
7,7,MAX_ACT-V30_LNP_rep1A_liver_phalloidin_beforeISS-reg6_1_MMStack.ome_GFP_ALLphal_cells_image.tiff,MAX_ACT-V30_LNP_rep1A_liver_Ecad_beforeISS-reg6_1_MMStack.ome_DAPI_align.tiff,MAX_ACT-V30_LNP_rep1A_liver_reg6_b1_1_MMStack.ome.tif,MAX_ACT-V30_LNP_rep1A_liver_reg6_b2_1_MMStack.ome.tif,MAX_ACT-V30_LNP_rep1A_liver_reg6_b3_1_MMStack.ome.tif,MAX_ACT-V30_LNP_rep1A_liver_Ecad_beforeISS-reg6_1_MMStack.ome_GFP_ecad_cells_image.tiff,example_images/ACT-V30_LNP_rep1A_liver_phalloidin_beforeISS-reg6_1,example_images/ACT-V30_LNP_rep1A_liver_Ecad_beforeISS-reg6_1,example_images/ACT-V30_LNP_rep1A_liver_reg6_b1_1,example_images/ACT-V30_LNP_rep1A_liver_reg6_b2_1,example_images/ACT-V30_LNP_rep1A_liver_reg6_b3_1,example_images/ACT-V30_LNP_rep1A_liver_Ecad_beforeISS-reg6_1,22.15766344,0.001174945,0.001174945,0.000686656,0.000335698,0.003341726,0.00062562,0.000228885,0.004180972,0.00062562,0.063981079,0.002243076,0.039398793,0.001174945,0.001174945,0.000686656,0.000335698,0.003341726,0.00062562,0.000228885,0.004180972,0.00062562,0.063981079,0.002243076,0.039398793,0.001174945,0.001174945,0.000686656,0.000335698,0.003341726,0.00062562,0.000228885,0.004180972,0.00062562,0.063981079,0.002243076,0.039398793,0.001174945,0.001174945,0.000686656,0.000335698,0.003341726,0.00062562,0.000228885,0.004180972,0.00062562,0.063981079,0.002243076,0.039398793,0.001174945,0.001174945,0.000686656,0.000335698,0.003341726,0.00062562,0.000228885,0.004180972,0.00062562,0.063981079,0.002243076,0.039398793,0.001174945,0.001174945,0.000686656,0.000335698,0.003341726,0.00062562,0.000228885,0.004180972,0.00062562,0.063981079,0.002243076,0.039398793,0,0,0,0,0,0,0,0,0,0,0,0,0.001174945,0.001174945,0.000686656,0.000335698,0.003341726,0.00062562,0.000228885,0.004180972,0.00062562,0.063981079,0.002243076,0.039398793,1644,53,7,11
7,8,MAX_ACT-V30_LNP_rep1A_liver_phalloidin_beforeISS-reg6_1_MMStack.ome_GFP_ALLphal_cells_image.tiff,MAX_ACT-V30_LNP_rep1A_liver_Ecad_beforeISS-reg6_1_MMStack.ome_DAPI_align.tiff,MAX_ACT-V30_LNP_rep1A_liver_reg6_b1_1_MMStack.ome.tif,MAX_ACT-V30_LNP_rep1A_liver_reg6_b2_1_MMStack.ome.tif,MAX_ACT-V30_LNP_rep1A_liver_reg6_b3_1_MMStack.ome.tif,MAX_ACT-V30_LNP_rep1A_liver_Ecad_beforeISS-reg6_1_MMStack.ome_GFP_ecad_cells_image.tiff,example_images/ACT-V30_LNP_rep1A_liver_phalloidin_beforeISS-reg6_1,example_images/ACT-V30_LNP_rep1A_liver_Ecad_beforeISS-reg6_1,example_images/ACT-V30_LNP_rep1A_liver_reg6_b1_1,example_images/ACT-V30_LNP_rep1A_liver_reg6_b2_1,example_images/ACT-V30_LNP_rep1A_liver_reg6_b3_1,example_images/ACT-V30_LNP_rep1A_liver_Ecad_beforeISS-reg6_1,39.40025852,0.019943542,0.031540398,0.023666743,0.029159991,0.24425117,0.043198291,0.096452278,0.165468841,0.075440604,4.902174447,0.20375372,2.904463317,0.000118257,0.000114443,0,0.000286107,0.001239796,0.000301366,0.000869764,0.001728084,0.000728618,0.03592737,0.001239795,0.025768674,0.000854505,0.002014191,0.001785306,0.001266499,0.014160373,0.002136263,0.004104677,0.005813687,0.003601129,0.27598995,0.007415884,0.125383377,0.000316564,0.000500641,0.000375663,0.000462857,0.003877003,0.000685687,0.001530989,0.00262649,0.00119747,0.077812293,0.003234186,0.046102592,0.000289921,0.000358587,0.000335698,0.000434882,0.003532464,0.000717174,0.001426719,0.002624552,0.001037613,0.059021898,0.003494316,0.036140993,0,0,0,0,0,0,0,0,0,0.008926526,0,0.000701915,0.000252391,0.000510902,0.000396711,0.000271196,0.003132545,0.000463506,0.000825153,0.001402849,0.000709206,0.058230825,0.00207773,0.030480615,0.000522621,0.000740063,0.000564584,0.000671397,0.006027313,0.00101091,0.001953155,0.00367361,0.00163653,0.098390173,0.004840925,0.07261006,1550.460317,56.46031746,8,13
7,9,MAX_ACT-V30_LNP_rep1A_liver_phalloidin_beforeISS-reg6_1_MMStack.ome_GFP_ALLphal_cells_image.tiff,MAX_ACT-V30_LNP_rep1A_liver_Ecad_beforeISS-reg6_1_MMStack.ome_DAPI_align.tiff,MAX_ACT-V30_LNP_rep1A_liver_reg6_b1_1_MMStack.ome.tif,MAX_ACT-V30_LNP_rep1A_liver_reg6_b2_1_MMStack.ome.tif,MAX_ACT-V30_LNP_rep1A_liver_reg6_b3_1_MMStack.ome.tif,MAX_ACT-V30_LNP_rep1A_liver_Ecad_beforeISS-reg6_1_MMStack.ome_GFP_ecad_cells_image.tiff,example_images/ACT-V30_LNP_rep1A_liver_phalloidin_beforeISS-reg6_1,example_images/ACT-V30_LNP_rep1A_liver_Ecad_beforeISS-reg6_1,example_images/ACT-V30_LNP_rep1A_liver_reg6_b1_1,example_images/ACT-V30_LNP_rep1A_liver_reg6_b2_1,example_images/ACT-V30_LNP_rep1A_liver_reg6_b3_1,example_images/ACT-V30_LNP_rep1A_liver_Ecad_beforeISS-reg6_1,20.76752789,0.000717174,0.001770047,0.00062562,0.000274662,0.004791332,0.000564584,0.000137331,0.000274662,0.001998932,0.057846956,0.002426184,0.028488595,0.000717174,0.001770047,0.00062562,0.000274662,0.004791332,0.000564584,0.000137331,0.000274662,0.001998932,0.057846956,0.002426184,0.028488595,0.000717174,0.001770047,0.00062562,0.000274662,0.004791332,0.000564584,0.000137331,0.000274662,0.001998932,0.057846956,0.002426184,0.028488595,0.000717174,0.001770047,0.00062562,0.000274662,0.004791332,0.000564584,0.000137331,0.000274662,0.001998932,0.057846956,0.002426184,0.028488595,0.000717174,0.001770047,0.00062562,0.000274662,0.004791332,0.000564584,0.000137331,0.000274662,0.001998932,0.057846956,0.002426184,0.028488595,0.000717174,0.001770047,0.00062562,0.000274662,0.004791332,0.000564584,0.000137331,0.000274662,0.001998932,0.057846956,0.002426184,0.028488595,0,0,0,0,0,0,0,0,0,0,0,0,0.000717174,0.001770047,0.00062562,0.000274662,0.004791332,0.000564584,0.000137331,0.000274662,0.001998932,0.057846956,0.002426184,0.028488595,1645,54,9,11
7,10,MAX_ACT-V30_LNP_rep1A_liver_phalloidin_beforeISS-reg6_1_MMStack.ome_GFP_ALLphal_cells_image.tiff,MAX_ACT-V30_LNP_rep1A_liver_Ecad_beforeISS-reg6_1_MMStack.ome_DAPI_align.tiff,MAX_ACT-V30_LNP_rep1A_liver_reg6_b1_1_MMStack.ome.tif,MAX_ACT-V30_LNP_rep1A_liver_reg6_b2_1_MMStack.ome.tif,MAX_ACT-V30_LNP_rep1A_liver_reg6_b3_1_MMStack.ome.tif,MAX_ACT-V30_LNP_rep1A_liver_Ecad_beforeISS-reg6_1_MMStack.ome_GFP_ecad_cells_image.tiff,example_images/ACT-V30_LNP_rep1A_liver_phalloidin_beforeISS-reg6_1,example_images/ACT-V30_LNP_rep1A_liver_Ecad_beforeISS-reg6_1,example_images/ACT-V30_LNP_rep1A_liver_reg6_b1_1,example_images/ACT-V30_LNP_rep1A_liver_reg6_b2_1,example_images/ACT-V30_LNP_rep1A_liver_reg6_b3_1,example_images/ACT-V30_LNP_rep1A_liver_Ecad_beforeISS-reg6_1,29.44743032,0.037552453,0.079407948,0.058823527,0.030304417,0.104264889,0.033875029,0.12716869,1.013687313,0.083970398,8.304218978,0.161501489,3.197268412,0.000221256,0.00024033,0.000366217,0.000183108,0.000320439,0.000228885,0.000747692,0.005405509,0.000442512,0.030476077,0.000362402,0.009899288,0.001495384,0.003860533,0.002594034,0.001205463,0.004943922,0.001480125,0.010009918,0.068162046,0.007614252,0.723827004,0.01185626,0.290974289,0.000528908,0.001118422,0.0008285,0.000426823,0.00146852,0.000477113,0.001791108,0.014277286,0.001182682,0.116960831,0.002274669,0.045031949,0.000511177,0.000900282,0.000816358,0.000373846,0.001121538,0.000419623,0.00124361,0.00919356,0.000762951,0.058876932,0.00171664,0.022087432,0,0,0,0,0,0,0,0,0,0,0,0,0.000383546,0.001005764,0.000579715,0.000313282,0.001301648,0.000349614,0.001906989,0.014357872,0.001382406,0.1497933,0.002540527,0.06129725,0.000812543,0.001945525,0.001220722,0.000663767,0.002491035,0.000774395,0.001976043,0.017502096,0.001419089,0.132486455,0.003414206,0.052544435,1333.690141,56.61971831,10,9
